	Df	SumOfSqs	R2	F	Pr(>F)
Model	2	2.12103401644683	0.116077646845876	3.93963269844933	0.001
Residual	60	16.1515109056869	0.883922353154124	NA	NA
Total	62	18.2725449221337	1	NA	NA
