	Df	SumOfSqs	R2	F	Pr(>F)
Model	2	0.259860219770775	0.140000606226035	4.88374552027296	0.001
Residual	60	1.59627616974759	0.859999393773965	NA	NA
Total	62	1.85613638951836	1	NA	NA
