	Df	SumOfSqs	R2	F	Pr(>F)
Model	2	1.86368956192159	0.144410151953191	5.06352964388927	0.001
Residual	60	11.0418405321516	0.855589848046809	NA	NA
Total	62	12.9055300940732	1	NA	NA
