	Df	SumOfSqs	R2	F	Pr(>F)
Model	2	0.90416973130779	0.147040351515265	5.17165208611492	0.001
Residual	60	5.24495683150464	0.852959648484736	NA	NA
Total	62	6.14912656281243	1	NA	NA
