	Df	Sum Sq	Mean Sq	F	N.Perm	Pr(>F)
Groups	2	0.149666498617508	0.0748332493087541	8.1750989265714	999	0.002
Residuals	60	0.549228211041151	0.00915380351735253	NA	NA	NA
