ASV_ID	Taxon	F_Group	P_Group	FDR_Group
ASV_00969	Dysgonomonadaceae_Fermentimonas	7.629595648793254	0.012856523409015356	1
ASV_00613	Lachnospiraceae_Howardella	5.5773450266087785	0.013144115515798437	1
ASV_01589	Paludibacteraceae_Unclassified	8.062813976398855	0.01396692688316014	1
ASV_00359	Prevotellaceae_Alloprevotella	5.398695730643556	0.014057502651925114	1
ASV_01544	Anaerovoracaceae_[Eubacterium] saphenum group	20.962645284706895	0.015172115940443306	1
ASV_01923	Carnobacteriaceae_Alkalibacterium	20.349973775098807	0.016015332190264756	1
ASV_00042	Oscillospiraceae_Unclassified	5.233752660243327	0.01627013613146979	1
ASV_01726	Lachnospiraceae_Lachnospiraceae UCG-004	11.878032516039834	0.016396730147674007	1
ASV_00855	Lachnospiraceae_Lachnospiraceae UCG-003	11.755031276075286	0.016810218428338304	1
ASV_00695	Guggenheimella_Unclassified	0.008745828521904345	0.01740528805957203	1
ASV_01556	p-251-o5_Unclassified	19.259743910864717	0.01770002702030099	1
ASV_00144	Erysipelotrichaceae_Erysipelotrichaceae UCG-006	5.10032928278855	0.018109757145048627	1
ASV_01472	Clostridiaceae_Clostridium sensu stricto 5	0.009488740438116261	0.01887402116624646	1
ASV_01630	Selenomonadaceae_Unclassified	17.954691470773565	0.02009092592063901	1
ASV_00083	Erysipelotrichaceae_Unclassified	4.9483955537567414	0.02050455563801798	1
ASV_01171	Jonesiaceae_Jonesia	10.632252077486704	0.021315274768794662	1
ASV_00072	Oscillospiraceae_UCG-002	0.010956608548515141	0.021789650052965064	1
ASV_01363	Desulfovibrionaceae_Desulfovibrio	5.887439152417009	0.024253394938399758	1
ASV_00474	Dietziaceae_Dietzia	4.914012065242843	0.02443334324495123	1
ASV_00914	Veillonellaceae_Dialister	7.95130954339829	0.025096200837888372	1
ASV_02122	Wohlfahrtiimonadaceae_Wohlfahrtiimonas	15.73075008528735	0.025446951967156402	1
