Kingdom	Phylum	Class	Order	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	0	10	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	3393	4997	1595	3216	4500	3985	1761	4447	5069	1606	8567	7217	4226	3129	1467	3115	9617	2626	3446	2721	3052	5713	4808	500	1259	4527	1400	2266	3918	2054	515	7696	2173	983	4590	705	190	4510	2148	425	15797	4059	4107	1818	2013	4289	3381	5875	4086	3612	3311	1145	5346	584	1856	3744	691	2044	1713	3963	1514	1577	639
Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	0	0	0	0	0	17	0	0	0	0	0	0	0	0	3	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	1436	6319	2596	8375	6558	1933	1264	13787	3369	6297	26914	9916	1775	1369	9330	18275	3841	34629	27008	6264	5652	7947	2946	3750	11049	1168	13826	40205	4930	5818	80707	25232	9319	41391	19715	24429	35179	3004	21648	9787	14144	15520	16282	8429	13206	15518	19202	3537	19007	3764	20333	3807	7866	85819	6059	5205	4444	16308	31274	1709	1254	5720	24100
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	53	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	45	151	373	74	1111	1192	4	951	311	9	412	607	148	46	64	52	3	63	147	55	17	35	53	7	29	6	248	38	20	134	12	147	31	10	12265	11019	0	24	19	0	5	2	372	0	8	2	329	29	66	12	18	8	0	0	27	0	0	25	108	0	0	290	0
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	0	9	946	24	1010	484	52	131	165	0	101	107	963	72	96	27	12	0	21	65	0	6	0	0	36	31	17	7	5	8	0	14	28	0	144	304	0	29	11	0	0	0	0	0	0	0	41	12	0	0	0	0	0	0	38	0	0	11	0	0	0	6	6
Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	0	3	0	0	0	2	26	0	0	0	3	0	0	0	0	0	0	9	32	6	0	0	0	3	0	0	7	0	33	0	11	8	0	0	4	29	26	0	5	9	0	14	11	4	0	27	13	0	4	0	0	0	7	5	4	10	0	34	24	0	0	38	22
Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	0	0	0	4	0	5	17	4	0	6	9	10	0	6	0	10	23	0	5	7	4	0	0	2	0	7	3	0	9	10	0	11	3	0	13	0	3	0	0	14	21	29	5	0	12	15	16	9	7	11	9	10	15	0	3	3	3	6	7	17	15	0	7
Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	48	222	103	751	117	325	47	521	261	292	502	310	54	32	154	138	4	0	8	173	79	97	416	7	48	183	569	6	321	111	0	256	77	0	8	14	22	4	31	46	105	56	0	25	12	151	1025	503	97	514	29	33	153	0	8	176	0	110	56	349	15	109	38
