ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
ASV_00078	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unclassified	0	0	16	8	11	27	0	41	26	0	13	16	0	61	15	21	0	0	0	877	322	528	827	139	153	549	479	142	66	122	17	302	54	196	4681	432	79	505	84	378	37	0	640	315	122	1530	18	392	459	36	105	16	313	180	2163	72	2886	1334	2955	1741	1304	1466	2676
ASV_04142	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_04077	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unclassified	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00040	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	delbrueckii	172	59	762	69	12	1186	6687	698	42	12	178	323	490	11881	612	335	38	0	13	789	439	201	1649	0	2313	129	14	20	1275	54	61	1063	122	3697	426	1408	72	1753	0	69	213	9	5704	27	179	68	18	119	103	16	37	0	0	17	2311	42	8927	37	535	148	120	677	179
ASV_00304	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unclassified	0	0	0	0	0	0	244	0	0	0	0	0	0	212	0	0	0	0	0	72	0	0	252	0	109	0	0	0	84	0	0	125	0	695	55	140	0	251	0	0	0	0	602	0	0	0	0	0	0	0	0	0	0	0	79	0	1099	0	0	0	0	104	0
ASV_00289	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unclassified	0	0	0	0	0	108	815	102	0	0	0	0	0	1875	0	43	0	0	0	73	0	0	0	0	237	0	0	0	125	0	0	0	0	0	0	93	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	371	0	402	0	0	0	0	0	0
ASV_03097	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00185	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	delbrueckii	39	0	133	16	0	247	1049	106	0	0	0	56	88	1765	104	95	0	0	15	119	67	37	275	0	351	38	0	0	206	23	0	143	0	449	72	356	40	254	0	0	31	0	875	0	0	16	0	0	23	0	0	0	0	0	646	0	1410	0	91	37	27	118	38
ASV_00202	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unclassified	0	14	106	0	8	186	797	115	0	0	78	52	59	1651	73	0	0	0	0	105	56	0	247	0	576	0	0	0	191	0	13	145	24	586	60	329	0	233	0	30	27	0	756	0	55	0	0	21	0	0	0	0	0	0	201	0	1186	0	73	0	0	86	0
ASV_00864	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	85	141	0	0	0	0	0	0	0	0	0	86	0	0	222	0	0	100	0	0
ASV_01350	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	61	0	0	138	0	0	0	0	0
ASV_00656	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	161	164	0	0	57	0	0	0	0	0	0	120	0	0	349	0	0	143	0	0
ASV_02713	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0
ASV_01208	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	100	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0
ASV_01010	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	76	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	82	0	0
ASV_02459	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0
