Comparison	P_Value	Adj_P_Value	Significance
Group1 vs Group2	0.835963694434553	0.835963694434553	ns
Group1 vs Group3	0.284304139788136	0.426456209682205	ns
Group2 vs Group3	0.263877104727201	0.426456209682205	ns
